Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,40.48%,40.48%,No data,No data,No data,No data,77.72%,77.72%,No data,No data
bommerplumbing.net,< 10%,< 10%,40.48%,40.48%,12.38%,12.38%,57.69%,57.69%,0.00%,0.00%
alliedexperts.com,11.42%,11.42%,39.08%,39.08%,7.92%,7.92%,68.42%,68.42%,43.75%,43.75%
service-professionals.com,< 10%,< 10%,40.48%,40.48%,15.84%,15.84%,58.33%,58.33%,0.00%,0.00%
amazon.com,< 10%,< 10%,40.48%,40.48%,8.42%,8.42%,92.59%,92.59%,0.00%,0.00%
thesewerkings.com,< 10%,< 10%,38.68%,38.68%,7.43%,7.43%,85.71%,85.71%,60.00%,60.00%
spsmechanical.com,< 10%,< 10%,39.48%,39.48%,10.40%,10.40%,59.09%,59.09%,23.81%,23.81%
hutchbiz.com,< 10%,< 10%,39.68%,39.68%,5.45%,5.45%,51.85%,51.85%,36.36%,36.36%
horizonservices.com,< 10%,< 10%,39.48%,39.48%,10.89%,10.89%,83.78%,83.78%,22.73%,22.73%
callharrisnow.com,10.62%,10.62%,38.88%,38.88%,7.92%,7.92%,79.25%,79.25%,50.00%,50.00%
zoomdrain.com,12.63%,12.63%,38.48%,38.48%,9.90%,9.90%,79.37%,79.37%,50.00%,50.00%
