Location Name,Impressions
08037,0
08201,1
08202,1
08203,11
08204,8
08205,6
08210,3
08212,0
08215,0
08221,3
08223,1
08225,9
08226,4
08230,2
08232,7
08234,12
08240,0
08241,0
08242,4
08243,1
08244,4
08247,0
08248,0
08251,3
08260,16
08270,0
08302,11
08310,0
08311,0
08314,0
08316,0
08319,1
08321,0
08323,0
08324,0
08326,2
08327,0
08329,0
08330,16
08332,4
08340,0
08341,0
08345,0
08346,0
08348,0
08349,0
08350,0
08353,0
08360,15
08361,10
08401,11
08402,5
08403,0
08406,3
Atlantic County,0
Avalon,0
Cape May County,0
Cumberland County,0
Dennis,0
North Cape May,0
Stone Harbor,0
